Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Pacajus;PACAJUS;-4.183;-38.466694444444;1974;1;398.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;11.0;9.0;12.0;15.0;90.0;15.0;4.0;0.0;0.0;33.0;0.0;18.5;0.0;0.0;46.0;95.0;10.0;0.0;10.0;16.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1974;2;318.0;32.0;49.0;16.0;22.0;2.0;0.0;19.0;0.0;0.0;11.0;22.0;0.0;0.0;0.0;0.0;0.0;35.0;0.0;55.0;0.0;0.0;41.0;0.0;6.0;8.0;0.0;0.0;0.0;888.0;888.0;888.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1974;3;358.0;0.0;7.0;16.0;0.0;9.0;0.0;41.0;36.0;27.0;0.0;21.0;44.0;35.0;0.0;6.0;23.0;13.0;0.0;0.0;17.0;0.0;37.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1974;4;429.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;130.0;24.0;0.0;0.0;0.0;0.0;36.0;0.0;25.0;6.0;11.0;35.0;19.0;42.0;33.0;48.0;0.0;0.0;888.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1974;5;211.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;0.0;15.0;21.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;6.0;16.0;18.0;0.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1974;6;75.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;12.0;15.0;14.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;888.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1974;7;41.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;21.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1974;8;30.0;22.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1974;9;19.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1974;10;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1974;11;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;888.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1974;12;119.0;0.0;0.0;48.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;36.0;0.0;0.0;0.0;0.0;0.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1975;1;70.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1975;2;205.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;19.0;30.0;0.0;5.0;0.0;0.0;2.0;0.0;0.0;69.0;29.0;0.0;0.0;0.0;11.0;0.0;888.0;888.0;888.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1975;3;264.0;36.0;45.0;4.0;3.0;30.0;30.0;14.0;0.0;0.0;0.0;0.0;18.0;0.0;47.0;0.0;0.0;0.0;5.0;12.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1975;4;285.0;0.0;0.0;0.0;42.0;27.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;15.0;43.0;25.0;0.0;0.0;0.0;0.0;18.0;13.0;0.0;0.0;3.0;29.0;17.0;10.0;13.0;0.0;22.0;888.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1975;5;290.0;14.0;0.0;0.0;31.0;0.0;0.0;0.0;3.0;0.0;18.0;7.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;113.0;27.0;0.0;0.0;0.0;6.0;36.0;0.0;27.0
Pacajus;PACAJUS;-4.183;-38.466694444444;1975;6;101.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;55.0;0.0;0.0;888.0
