Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Banabuiú;BANABUIU;-5.317;-38.9166944444;1988;1;100.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.6;25.6;0.0;0.0;0.0;24.4;0.0;0.6;20.2;0.0;0.6;18.8;1.2;0.0;0.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1988;2;86.5;0.0;0.0;0.0;0.0;8.2;999.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.4;5.8;0.0;1.8;0.0;35.6;0.0;0.0;0.0;1.6;999.0;25.1;0.0;0.0;0.0;0.0;888.0;888.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1988;3;190.2;9.2;0.0;0.0;0.0;0.0;0.8;4.8;0.0;0.0;11.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.4;2.2;10.6;23.8;0.0;9.2;0.0;88.8;0.0;0.0;0.0;0.0;24.8
Banabuiú;BANABUIU;-5.317;-38.9166944444;1988;4;179.6;34.0;7.8;0.0;0.0;0.0;0.6;0.4;0.0;1.0;0.0;21.2;15.1;16.3;1.6;20.4;2.6;10.2;0.0;1.2;999.0;0.0;999.0;999.0;5.2;2.2;0.0;6.0;999.0;23.8;10.0;888.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1988;5;96.8;21.6;7.2;9.0;10.0;33.4;2.4;999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;999.0;0.0;0.0;0.0;0.0;0.0;999.0;8.0;5.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1988;6;24.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1988;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1988;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1988;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1988;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1988;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1988;12;49.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.4;0.0;0.0;0.0;10.0;0.0;0.0;0.0;1.2;1.8;15.6;0.0;0.0;0.0;10.8;0.0;2.6;0.0;0.0;0.0;0.0;0.0;0.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1989;1;156.9;0.0;0.0;0.0;0.0;0.0;0.0;19.2;0.0;0.0;0.0;0.0;35.6;0.0;35.9;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.4;10.8;0.0;0.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1989;2;53.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8;0.0;0.0;0.0;0.0;10.6;2.4;6.0;10.8;2.6;0.0;0.0;888.0;888.0;888.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1989;3;186.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;15.2;0.0;15.2;0.0;0.0;0.0;4.4;4.6;17.4;0.0;0.0;0.0;27.0;41.0;0.0;6.4;10.0;0.0;26.2;4.6;0.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1989;4;386.7;28.0;0.0;0.0;16.4;75.0;40.1;17.2;1.0;6.2;5.2;20.2;13.0;27.8;3.2;0.0;1.4;70.0;1.8;1.8;0.0;0.0;0.0;0.0;0.0;23.0;2.4;13.0;9.2;3.8;7.0;888.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1989;5;185.6;0.0;20.2;6.4;14.0;19.2;0.0;0.0;0.0;18.2;25.4;36.8;18.0;2.4;4.6;3.4;6.0;0.0;0.0;5.6;1.6;0.0;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Banabuiú;BANABUIU;-5.317;-38.9166944444;1989;6;25.8;2.2;3.2;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.2;0.0;0.0;0.0;0.0;0.0;3.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.8;0.0;0.0;0.0;888.0
