Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1974;1;198.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;13.0;8.3;0.0;0.0;2.0;0.0;4.4;0.0;0.0;12.1;80.3;0.0;0.0;0.0;0.0;0.0;47.0;0.0;24.4;6.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1974;2;265.2;0.0;0.0;0.0;54.3;0.0;59.3;0.0;0.0;0.0;0.0;0.0;4.6;11.0;0.0;0.0;0.0;0.0;10.0;39.0;28.0;0.0;8.6;0.0;17.6;30.0;0.0;0.0;2.8;888.0;888.0;888.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1974;3;250.5;0.0;0.0;25.0;12.0;0.0;0.0;0.0;0.0;5.5;20.0;17.4;0.0;0.0;12.0;0.0;0.0;26.1;0.0;16.0;3.6;55.3;0.0;39.6;0.0;14.0;0.0;0.0;0.0;0.0;4.0;0.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1974;4;324.5;0.0;0.0;0.0;6.2;23.4;0.0;10.6;6.6;0.0;13.2;0.0;0.0;41.4;0.0;0.0;0.0;0.0;0.0;64.0;26.0;28.0;53.1;0.0;0.0;0.0;12.0;0.0;0.0;40.0;0.0;888.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1974;5;130.2;0.0;0.0;20.0;0.0;0.0;0.0;4.2;26.4;14.6;0.0;0.0;9.4;15.6;5.0;6.0;0.0;25.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1974;6;48.2;0.0;0.0;0.0;0.0;19.6;0.0;0.0;0.0;4.4;0.0;0.0;0.0;0.0;0.0;9.6;0.0;0.0;0.0;0.0;0.0;14.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1974;7;18.2;0.0;0.0;0.0;0.0;6.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1974;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1974;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1974;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1974;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1974;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1975;1;39.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.6;0.0;10.0;4.6;0.0;0.0;0.0;0.0;4.0;10.0;0.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1975;2;33.0;0.0;0.0;11.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1975;3;71.8;6.5;5.5;8.3;0.0;0.0;3.7;0.0;0.0;0.0;0.0;47.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1975;4;92.0;0.0;0.0;0.0;0.0;9.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;6.0;0.0;4.0;25.0;0.0;11.0;0.0;29.0;888.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1975;5;202.2;0.0;36.0;0.0;0.0;50.6;5.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;0.0;0.0;0.0;6.0;0.0;48.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;11.6;0.0;0.0;0.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1975;6;106.4;0.0;0.0;17.0;4.4;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;37.0;0.0;0.0;0.0;0.0;7.4;4.0;8.6;0.0;0.0;0.0;0.0;888.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1975;7;65.3;0.0;2.0;0.0;0.0;12.0;0.0;0.0;0.0;6.6;0.0;0.0;0.0;15.3;0.0;0.0;9.8;0.0;0.0;19.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1975;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaretama;JAGUARETAMA;-5.6085833333333;-38.763972222222;1975;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
