Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Araripe;ARARIPE;-7.2;-40.133305555556;1979;1;120.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.4;0.0;0.0;0.0;0.0;0.0;0.0;18.5;14.4;0.0;7.5;6.7;0.0;5.8;0.0;0.0;8.3
Araripe;ARARIPE;-7.2;-40.133305555556;1979;2;84.6;0.0;0.0;8.3;0.0;10.7;6.1;5.4;23.5;0.0;0.0;0.0;0.0;7.6;0.0;0.0;0.0;0.0;9.4;0.0;0.0;6.0;0.0;0.0;0.0;4.2;3.4;0.0;0.0;888.0;888.0;888.0
Araripe;ARARIPE;-7.2;-40.133305555556;1979;3;131.7;0.0;0.0;2.3;0.0;0.0;11.1;0.0;3.4;5.2;30.2;58.0;21.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Araripe;ARARIPE;-7.2;-40.133305555556;1979;4;110.3;0.0;0.0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;7.7;0.0;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.5;31.6;0.0;6.4;10.6;0.0;0.0;888.0
Araripe;ARARIPE;-7.2;-40.133305555556;1979;5;47.9;10.4;13.7;0.0;8.4;4.2;4.3;0.0;6.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Araripe;ARARIPE;-7.2;-40.133305555556;1979;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Araripe;ARARIPE;-7.2;-40.133305555556;1979;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Araripe;ARARIPE;-7.2;-40.133305555556;1979;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Araripe;ARARIPE;-7.2;-40.133305555556;1979;9;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Araripe;ARARIPE;-7.2;-40.133305555556;1979;10;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6;0.0;0.0
Araripe;ARARIPE;-7.2;-40.133305555556;1979;11;124.9;0.0;0.0;0.0;0.0;0.0;3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0;33.3;0.0;888.0
Araripe;ARARIPE;-7.2;-40.133305555556;1979;12;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.5;3.5;0.0
Araripe;ARARIPE;-7.2;-40.133305555556;1980;1;138.8;0.0;0.0;0.0;0.0;44.6;0.0;19.5;0.0;0.0;0.0;20.8;0.0;21.7;28.4;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Araripe;ARARIPE;-7.2;-40.133305555556;1980;2;243.0;0.0;0.0;0.0;0.0;13.4;0.0;8.5;6.3;0.0;0.0;8.3;16.2;0.0;5.6;7.7;29.6;8.4;12.8;0.0;0.0;34.4;0.0;9.3;5.6;39.4;0.0;29.0;8.5;0.0;888.0;888.0
Araripe;ARARIPE;-7.2;-40.133305555556;1980;3;90.4;0.0;13.7;0.0;53.2;12.8;0.0;0.0;0.0;0.0;0.0;6.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;0.0;0.0
Araripe;ARARIPE;-7.2;-40.133305555556;1980;4;49.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.8;0.0;0.0;10.4;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Araripe;ARARIPE;-7.2;-40.133305555556;1980;5;15.3;0.0;0.0;0.0;0.0;6.3;3.6;5.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Araripe;ARARIPE;-7.2;-40.133305555556;1980;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Araripe;ARARIPE;-7.2;-40.133305555556;1980;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Araripe;ARARIPE;-7.2;-40.133305555556;1980;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Araripe;ARARIPE;-7.2;-40.133305555556;1980;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Araripe;ARARIPE;-7.2;-40.133305555556;1980;10;28.4;0.0;0.0;0.0;0.0;28.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
