Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Ipaumirim;IPAUMIRIM;-6.79027777778;-38.7181944444;1978;1;107.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;0.0;0.0;0.0;0.0;7.0;10.0;20.0;19.0;0.0;0.0;0.0;14.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;IPAUMIRIM;-6.79027777778;-38.7181944444;1978;2;336.0;0.0;2.0;0.0;26.0;50.0;0.0;30.0;0.0;25.0;0.0;24.0;57.0;0.0;4.0;32.0;0.0;9.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0;17.0;10.0;20.0;23.0;888.0;888.0;888.0
Ipaumirim;IPAUMIRIM;-6.79027777778;-38.7181944444;1978;3;161.0;57.0;4.0;1.0;0.0;4.0;3.0;14.0;0.0;0.0;0.0;38.0;1.0;1.0;2.0;18.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0
Ipaumirim;IPAUMIRIM;-6.79027777778;-38.7181944444;1978;4;33.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;888.0
Ipaumirim;IPAUMIRIM;-6.79027777778;-38.7181944444;1978;5;218.0;0.0;0.0;0.0;115.0;44.0;0.0;0.0;0.0;0.0;20.0;2.0;0.0;0.0;10.0;3.0;0.0;0.0;0.0;0.0;0.0;6.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;IPAUMIRIM;-6.79027777778;-38.7181944444;1978;6;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;13.0;0.0;0.0;888.0
Ipaumirim;IPAUMIRIM;-6.79027777778;-38.7181944444;1978;7;43.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0
Ipaumirim;IPAUMIRIM;-6.79027777778;-38.7181944444;1978;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;IPAUMIRIM;-6.79027777778;-38.7181944444;1978;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipaumirim;IPAUMIRIM;-6.79027777778;-38.7181944444;1978;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
