Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Araripe;BREJINHO;-7.18680555556;-40.02425;1988;2;109.6;0.0;0.0;0.0;0.0;5.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;2.0;0.0;8.0;0.0;0.0;0.0;0.0;73.0;4.0;0.0;0.0;0.0;0.0;888.0;888.0
Araripe;BREJINHO;-7.18680555556;-40.02425;1988;3;135.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.0;0.0;0.0;4.0;999.0;0.0;14.0;0.0;45.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;999.0;0.0;999.0;0.0;0.0;0.0;20.0;0.0
Araripe;BREJINHO;-7.18680555556;-40.02425;1988;4;202.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;70.0;0.0;0.0;35.0;0.0;0.0;0.0;0.0;999.0;36.0;48.0;0.0;0.0;0.0;0.0;0.0;888.0
Araripe;BREJINHO;-7.18680555556;-40.02425;1988;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Araripe;BREJINHO;-7.18680555556;-40.02425;1988;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0
Araripe;BREJINHO;-7.18680555556;-40.02425;1988;10;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0
Araripe;BREJINHO;-7.18680555556;-40.02425;1988;12;8.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;0.0;999.0;8.0;0.0;0.0;999.0;999.0;0.0;999.0;999.0;999.0;0.0;0.0;999.0;999.0;999.0;999.0
Araripe;BREJINHO;-7.18680555556;-40.02425;1990;3;50.0;999.0;999.0;30.0;999.0;3.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;8.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;9.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
Araripe;BREJINHO;-7.18680555556;-40.02425;1990;4;96.0;999.0;999.0;17.0;30.0;18.0;999.0;999.0;999.0;6.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;999.0;999.0;999.0;999.0;999.0;25.0;999.0;888.0
Araripe;BREJINHO;-7.18680555556;-40.02425;1990;6;6.0;999.0;6.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0
Araripe;BREJINHO;-7.18680555556;-40.02425;1991;1;25.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;6.0;12.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;7.0;999.0;999.0
Araripe;BREJINHO;-7.18680555556;-40.02425;1991;2;75.0;999.0;999.0;999.0;999.0;999.0;12.0;32.0;19.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;12.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0;888.0;888.0
