Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Tamboril;TAMBORIL;-4.8344166666667;-40.320583333333;1979;1;51.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.7;0.0;9.0;0.0;0.0;6.9;0.0;0.0;23.6;5.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tamboril;TAMBORIL;-4.8344166666667;-40.320583333333;1979;2;48.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.9;0.0;24.0;0.0;0.0;7.2;0.0;888.0;888.0;888.0
Tamboril;TAMBORIL;-4.8344166666667;-40.320583333333;1979;3;194.9;0.0;0.0;0.0;0.0;72.4;0.0;0.0;0.0;0.0;2.6;0.0;0.0;0.0;13.9;0.0;0.0;24.6;0.0;0.0;0.0;16.8;0.0;0.0;0.0;0.0;0.0;12.4;0.0;36.2;16.0;0.0
Tamboril;TAMBORIL;-4.8344166666667;-40.320583333333;1979;4;108.7;0.0;0.0;0.0;4.6;0.0;0.0;16.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.7;0.0;0.0;9.4;0.0;8.4;27.6;18.0;3.0;0.0;0.0;12.1;888.0
Tamboril;TAMBORIL;-4.8344166666667;-40.320583333333;1979;5;65.1;0.0;0.0;0.0;0.0;2.3;4.1;8.6;0.0;0.0;0.0;0.0;2.3;0.0;0.0;0.0;11.6;0.0;33.3;1.6;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tamboril;TAMBORIL;-4.8344166666667;-40.320583333333;1979;6;6.2;0.0;3.7;0.0;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Tamboril;TAMBORIL;-4.8344166666667;-40.320583333333;1979;7;13.3;0.0;7.0;6.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tamboril;TAMBORIL;-4.8344166666667;-40.320583333333;1979;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tamboril;TAMBORIL;-4.8344166666667;-40.320583333333;1979;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Tamboril;TAMBORIL;-4.8344166666667;-40.320583333333;1979;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
