Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Mombaça;MOMBACA;-5.7478333333333;-39.633111111111;1974;1;208.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.3;0.0;0.0;37.0;0.0;6.9;19.0;4.9;17.0;0.0;0.0;40.0;0.0;0.0;74.3;0.0;3.2
Mombaça;MOMBACA;-5.7478333333333;-39.633111111111;1974;2;125.6;10.4;0.0;16.0;3.6;4.0;0.0;7.4;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;6.4;7.6;20.6;0.0;0.0;4.6;0.0;0.0;25.0;5.0;10.0;0.0;888.0;888.0;888.0
Mombaça;MOMBACA;-5.7478333333333;-39.633111111111;1974;3;466.4;16.0;27.0;0.0;9.4;0.0;28.6;6.8;0.2;42.0;99.3;29.8;4.2;9.0;0.0;11.4;0.0;19.2;0.0;0.0;4.8;28.0;44.2;13.8;23.9;10.0;12.2;0.0;0.0;18.4;8.2;0.0
Mombaça;MOMBACA;-5.7478333333333;-39.633111111111;1974;4;369.8;5.0;22.8;3.8;0.0;30.4;0.0;0.0;0.4;6.2;22.2;5.0;0.0;18.0;2.0;0.0;0.0;65.8;8.4;12.2;15.0;50.0;15.0;5.8;0.4;13.2;26.0;5.4;0.0;36.8;0.0;888.0
Mombaça;MOMBACA;-5.7478333333333;-39.633111111111;1974;5;167.8;0.0;0.0;5.6;0.0;0.0;17.0;7.0;21.4;2.2;0.0;23.2;20.6;27.2;10.2;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;13.2;0.0;0.0;0.0;9.2;0.0;0.0;0.0
Mombaça;MOMBACA;-5.7478333333333;-39.633111111111;1974;6;32.2;25.0;0.0;0.0;0.0;7.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Mombaça;MOMBACA;-5.7478333333333;-39.633111111111;1974;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Mombaça;MOMBACA;-5.7478333333333;-39.633111111111;1974;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Mombaça;MOMBACA;-5.7478333333333;-39.633111111111;1974;9;46.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Mombaça;MOMBACA;-5.7478333333333;-39.633111111111;1974;10;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
