Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2000;12;52.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;13.0;16.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2001;1;110.0;0.0;9.0;0.0;39.0;0.0;0.0;0.0;0.0;0.0;8.0;5.0;3.0;0.0;43.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2001;2;119.0;0.0;9.0;0.0;39.0;0.0;0.0;0.0;0.0;0.0;8.0;5.0;3.0;6.0;46.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;888.0;888.0;888.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2001;3;127.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;39.0;0.0;24.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;3.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2001;4;136.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;17.0;3.0;0.0;8.0;1.0;3.0;39.0;20.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;10.0;0.0;888.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2001;5;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2001;6;63.0;53.0;0.0;9.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2001;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2001;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2001;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2001;10;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2001;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2001;12;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2002;1;135.0;13.0;3.0;0.0;0.0;0.0;0.0;0.0;8.0;10.0;0.0;0.0;0.0;35.0;0.0;0.0;0.0;11.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;28.0;0.0;0.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2002;2;20.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2002;3;142.0;0.0;0.0;0.0;3.0;38.0;6.0;22.0;38.0;10.0;0.0;0.0;7.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;10.0;0.0;1.0;2.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2002;4;92.0;1.0;2.0;1.0;4.0;6.0;0.0;27.0;9.0;0.0;0.0;8.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;888.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2002;5;37.0;1.0;21.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2002;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2002;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2002;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2002;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2002;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2002;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2002;12;19.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2003;1;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;3.0;8.0;0.0;2.0;0.0;0.0;4.0;0.0;0.0;0.0
Quiterianópolis;CRUZ;-5.7878611111111;-40.617611111111;2003;2;184.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;13.0;63.0;14.0;0.0;888.0;888.0;888.0
