Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1977;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1977;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1977;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1977;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1981;1;50.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;15.8;18.2;0.0;0.0;0.0;0.0;0.0;1.8;1.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;10.4;1.2;0.0;0.0;0.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1981;2;21.6;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.8;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1981;3;286.0;0.0;0.0;0.0;0.0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.8;33.8;38.4;22.6;4.6;9.2;4.6;1.0;33.6;0.6;5.0;25.0;22.8;15.6;8.6;1.4;48.8;1.4;0.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1981;4;56.6;1.4;6.4;14.4;1.8;0.0;29.0;0.0;0.0;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1981;5;25.7;0.0;7.5;3.8;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1981;6;10.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;0.0;0.0;0.0;0.0;0.0;9.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1981;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1981;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1981;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1981;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1981;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1981;12;69.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;6.6;0.2;25.4;0.3;0.0;0.0;0.0;0.0;0.0;0.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1982;1;73.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0.0;3.2;0.0;0.0;13.4;0.0;0.0;10.8;9.2
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1982;2;110.6;0.0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;0.0;0.0;15.4;0.0;0.0;0.0;10.8;3.4;0.0;0.0;0.0;0.4;10.6;3.6;11.8;51.2;888.0;888.0;888.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1982;3;259.9;11.8;0.0;9.2;29.8;3.8;0.0;0.0;18.8;11.8;9.2;0.0;0.0;4.2;0.2;0.4;25.2;8.2;23.6;0.0;22.8;15.2;0.0;0.2;0.3;0.0;10.0;22.0;4.4;19.0;9.8;0.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1982;4;173.8;0.0;16.4;0.0;0.0;0.0;3.8;10.8;0.0;3.4;0.0;0.0;0.0;1.0;35.6;8.0;7.2;0.2;3.8;0.0;0.0;0.4;7.8;8.8;11.2;37.8;5.2;0.0;1.6;0.0;10.8;888.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1982;5;44.8;1.4;0.2;0.0;0.0;0.0;0.0;2.6;0.0;8.0;3.0;3.4;5.2;11.2;0.0;0.0;0.0;2.2;0.0;0.6;0.4;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;0.0;4.8
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1982;6;15.4;6.4;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;2.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;0.0;0.0;0.0;888.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1982;7;2.1;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.2;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1982;8;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1982;9;1.6;1.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1982;10;10.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.6;0.0
General Sampaio;GENERAL SAMPAIO;-4.0480277777778;-39.448;1982;11;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;888.0
