Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Itarema;ITAREMA;-2.9210833333333;-39.916083333333;1989;1;9.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;2.3;0.0;2.1;0.3;0.3;0.8;0.0
Itarema;ITAREMA;-2.9210833333333;-39.916083333333;1989;2;20.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;5.0;7.0;4.0;0.0;0.0;2.3;0.0;2.1;0.3;888.0;888.0;888.0
Itarema;ITAREMA;-2.9210833333333;-39.916083333333;1989;3;470.2;2.0;21.0;28.0;23.0;13.0;0.0;0.0;0.0;21.0;3.2;0.0;0.0;0.0;0.0;3.0;0.0;10.0;0.0;87.0;20.0;0.0;2.0;0.0;32.0;30.0;28.0;10.0;58.0;3.0;8.0;68.0
Itarema;ITAREMA;-2.9210833333333;-39.916083333333;1989;4;365.1;0.0;0.0;0.0;10.2;60.0;3.0;34.0;62.3;33.4;13.0;11.0;12.0;22.0;5.0;4.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;63.0;0.0;0.0;0.0;888.0
Itarema;ITAREMA;-2.9210833333333;-39.916083333333;1989;5;84.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.0;0.0;0.0;0.0;0.0;0.0;0.0
Itarema;ITAREMA;-2.9210833333333;-39.916083333333;1989;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Itarema;ITAREMA;-2.9210833333333;-39.916083333333;1989;7;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Itarema;ITAREMA;-2.9210833333333;-39.916083333333;1989;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Itarema;ITAREMA;-2.9210833333333;-39.916083333333;1989;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Itarema;ITAREMA;-2.9210833333333;-39.916083333333;1989;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
