Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Canindé;CANINDE;-4.35;-39.3;1974;1;139.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;22.0;0.0;21.6;0.0;0.0;1.5;0.0;9.6;26.0;13.4;0.4;0.2;12.0;11.8
Canindé;CANINDE;-4.35;-39.3;1974;2;208.2;31.6;8.0;7.6;0.0;0.6;0.2;10.2;5.2;0.0;0.0;0.0;2.6;5.8;0.0;0.0;0.0;24.2;1.6;0.0;0.0;35.0;6.0;19.0;10.2;15.4;8.0;2.8;14.2;888.0;888.0;888.0
Canindé;CANINDE;-4.35;-39.3;1974;3;329.8;4.4;10.2;0.0;0.0;0.0;0.0;0.0;6.8;5.2;0.0;17.8;10.0;5.6;22.0;0.2;0.6;3.0;2.5;24.5;9.0;8.4;54.2;7.0;0.8;0.0;79.0;0.0;58.6;0.0;0.0;0.0
Canindé;CANINDE;-4.35;-39.3;1974;4;309.8;15.6;6.8;5.8;0.0;3.2;4.4;7.2;46.0;5.4;3.8;7.6;8.0;11.4;15.2;2.6;0.0;5.8;51.0;0.0;12.8;0.0;0.0;0.0;21.0;9.2;9.0;0.0;19.0;1.0;38.0;888.0
Canindé;CANINDE;-4.35;-39.3;1974;5;230.2;7.0;0.0;21.8;0.0;1.0;0.0;0.0;0.0;3.6;4.2;12.6;0.0;0.0;0.0;9.6;3.2;11.4;0.0;0.0;15.2;0.0;22.2;1.0;12.6;16.2;57.6;0.0;2.0;27.0;2.0;0.0
Canindé;CANINDE;-4.35;-39.3;1974;6;28.8;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.6;0.0;18.6;2.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Canindé;CANINDE;-4.35;-39.3;1974;7;2.6;0.0;0.0;0.0;0.0;0.0;0.0;2.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Canindé;CANINDE;-4.35;-39.3;1974;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Canindé;CANINDE;-4.35;-39.3;1974;9;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.4;0.0;0.0;0.0;0.0;0.0;4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Canindé;CANINDE;-4.35;-39.3;1974;10;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Canindé;CANINDE;-4.35;-39.3;1974;11;4.2;0.0;0.0;0.0;0.0;0.0;4.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Canindé;CANINDE;-4.35;-39.3;1974;12;8.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Canindé;CANINDE;-4.35;-39.3;1975;1;72.4;0.0;0.0;0.0;0.0;0.0;0.0;10.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4;0.0;18.0;0.0;18.2;13.8;0.0;4.2;0.0;0.0;0.0;0.0;1.4;5.2;0.0
Canindé;CANINDE;-4.35;-39.3;1975;2;110.0;0.0;21.6;4.4;6.6;0.0;0.0;0.0;0.0;0.0;0.0;3.2;29.0;1.6;8.2;13.4;3.0;9.6;4.2;0.0;0.0;0.0;0.0;2.4;0.0;0.0;0.0;0.6;2.2;888.0;888.0;888.0
Canindé;CANINDE;-4.35;-39.3;1975;3;189.6;0.0;15.2;12.6;7.0;38.6;0.6;18.0;15.0;3.2;0.0;0.0;1.8;9.6;0.0;0.0;0.0;0.0;14.0;0.0;2.4;0.2;0.0;30.6;20.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Canindé;CANINDE;-4.35;-39.3;1975;4;176.0;0.0;22.2;9.2;2.2;0.0;22.8;0.0;0.0;0.0;0.4;1.0;15.0;16.0;0.4;0.0;0.0;0.0;0.0;8.0;0.0;33.0;19.4;26.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Canindé;CANINDE;-4.35;-39.3;1975;5;153.6;0.0;0.0;0.0;7.0;16.2;0.4;0.0;0.0;36.8;8.6;0.0;0.0;3.8;0.0;0.4;5.2;6.2;17.6;3.2;17.4;0.0;0.0;0.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;11.8
Canindé;CANINDE;-4.35;-39.3;1975;6;39.2;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.8;3.2;0.0;0.0;1.5;0.0;17.3;2.4;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Canindé;CANINDE;-4.35;-39.3;1975;7;107.8;0.0;0.0;0.0;0.0;0.0;27.6;0.0;0.0;8.6;20.2;2.8;2.4;0.0;0.0;0.0;12.0;2.4;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.8;0.0;0.0;0.0;0.0
Canindé;CANINDE;-4.35;-39.3;1975;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Canindé;CANINDE;-4.35;-39.3;1975;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Canindé;CANINDE;-4.35;-39.3;1975;10;5.6;0.0;0.0;0.0;5.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Canindé;CANINDE;-4.35;-39.3;1975;11;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;0.0;888.0
Canindé;CANINDE;-4.35;-39.3;1975;12;21.0;4.0;0.0;0.0;3.4;0.0;5.4;8.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
