Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Granja;GRANJA;-3.1240833333333;-40.831472222222;1974;1;435.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.4;16.7;0.0;1.6;28.0;0.0;0.0;118.0;0.0;0.0;3.4;4.2;34.4;34.4;0.0;15.6;27.6;16.0;0.0;0.0;125.0
Granja;GRANJA;-3.1240833333333;-40.831472222222;1974;2;155.0;5.0;0.0;0.0;0.0;13.2;0.0;0.0;22.2;26.6;0.0;14.6;14.0;0.0;12.0;0.0;0.0;0.0;0.0;5.0;0.0;15.0;20.8;4.6;0.0;0.0;0.0;2.0;0.0;888.0;888.0;888.0
Granja;GRANJA;-3.1240833333333;-40.831472222222;1974;3;404.8;18.0;4.8;0.0;0.0;0.0;0.0;14.2;6.8;21.6;2.2;22.0;0.0;26.2;1.6;29.8;0.0;0.0;14.4;0.0;0.0;49.0;6.0;7.0;30.0;112.0;0.0;0.0;0.0;0.0;39.2;0.0
Granja;GRANJA;-3.1240833333333;-40.831472222222;1974;4;309.6;0.0;14.8;30.6;7.0;0.0;0.0;0.0;5.8;31.6;7.2;0.0;0.0;0.0;0.0;0.0;84.0;20.4;0.0;0.0;16.2;0.0;16.0;10.0;14.8;0.0;28.6;0.0;0.0;22.6;0.0;888.0
Granja;GRANJA;-3.1240833333333;-40.831472222222;1974;5;326.0;39.2;7.0;0.0;4.4;7.2;12.2;0.0;0.0;34.6;19.4;4.0;36.0;0.0;25.2;1.2;29.4;18.4;0.0;0.0;0.0;0.0;0.0;12.8;7.8;22.0;0.0;27.0;9.6;3.8;4.8;0.0
Granja;GRANJA;-3.1240833333333;-40.831472222222;1974;6;85.5;0.0;22.2;3.8;0.0;0.0;24.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;12.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Granja;GRANJA;-3.1240833333333;-40.831472222222;1974;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Granja;GRANJA;-3.1240833333333;-40.831472222222;1974;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Granja;GRANJA;-3.1240833333333;-40.831472222222;1974;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Granja;GRANJA;-3.1240833333333;-40.831472222222;1974;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
