Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Icapuí;ICAPUI;-4.699;-37.361611111111;1988;1;95.0;6.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;6.0;5.0;25.0;5.0;17.0;0.0;0.0;0.0;0.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1988;2;138.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;8.0;6.0;0.0;38.0;0.0;0.0;0.0;0.0;12.0;39.0;6.0;0.0;0.0;0.0;888.0;888.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1988;3;428.0;18.0;8.0;0.0;0.0;0.0;48.0;0.0;0.0;0.0;31.0;0.0;15.0;0.0;75.0;7.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;76.0;8.0;10.0;0.0;45.0;0.0;0.0;42.0;35.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1988;4;188.0;15.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;32.0;0.0;17.0;35.0;10.0;51.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;888.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1988;5;270.0;0.0;70.0;38.0;6.0;88.0;0.0;10.0;0.0;20.0;0.0;0.0;0.0;20.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1988;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1988;7;94.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0;4.0;12.0;5.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1988;8;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1988;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1988;10;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1988;11;8.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;888.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1988;12;28.0;0.0;10.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1989;1;214.0;10.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;26.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;78.0;55.0;10.0;0.0;0.0;0.0;0.0;0.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1989;2;61.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.0;4.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1989;3;283.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;13.0;2.0;0.0;0.0;64.0;13.0;5.0;30.0;12.0;18.0;0.0;0.0;85.0;0.0;10.0;22.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1989;4;580.6;16.0;40.0;98.0;16.0;17.0;19.0;0.0;0.6;20.0;0.0;10.0;8.0;45.0;8.0;6.0;0.0;61.0;10.0;92.0;13.0;15.0;25.0;0.0;0.0;0.0;33.0;0.0;0.0;28.0;0.0;888.0
Icapuí;ICAPUI;-4.699;-37.361611111111;1989;5;233.8;0.0;2.0;3.0;0.0;8.0;24.0;19.0;9.0;15.0;50.0;0.0;3.0;0.0;0.0;0.0;95.0;0.0;3.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;1.2;0.8
