Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2015;12;4.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;4.4;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2016;1;158.2;0.0;0.0;0.0;0.0;0.0;0.0;59.0;6.6;0.0;15.0;0.0;0.0;0.0;0.0;7.2;3.0;0.0;0.0;0.0;0.0;0.0;31.6;4.0;19.0;10.2;0.0;0.0;0.0;0.0;1.0;1.6
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2016;2;22.0;0.0;1.8;19.2;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2016;3;118.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;5.8;0.0;0.0;0.0;19.0;0.0;0.0;15.4;16.5;0.0;0.0;0.0;0.0;1.6;0.0;0.0;56.6;0.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2016;4;98.8;0.0;6.4;0.0;4.6;15.4;3.0;0.0;0.0;0.0;0.0;10.4;0.0;0.0;0.0;57.8;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2016;5;52.2;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;27.4;0.0;5.0;0.0;0.0;2.0;13.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2016;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2016;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2016;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2016;9;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2016;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2016;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2016;12;16.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.2;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2017;1;33.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;2.8;0.0;2.6;0.0;0.0;0.2;0.0;5.0;0.0;0.0;0.0;0.0;5.0;5.8;0.0;0.0;0.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2017;2;97.8;0.0;1.8;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;37.0;4.0;0.0;0.0;0.0;0.0;0.0;41.2;0.0;6.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4;888.0;888.0;888.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2017;3;114.8;3.4;15.0;1.6;0.0;3.6;0.0;0.0;0.0;13.4;0.0;2.0;0.0;9.2;5.2;0.0;0.0;7.4;0.0;0.0;3.2;0.0;0.0;15.4;6.4;0.0;0.0;0.0;0.0;0.0;0.0;29.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2017;4;123.6;2.6;0.0;12.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;6.0;21.0;0.0;0.0;0.0;0.0;2.0;15.6;0.0;0.0;0.0;0.0;9.4;0.0;0.0;0.0;11.8;8.4;0.0;888.0
Jaguaribe;BRUM;-6.18569444444;-38.6583611111;2017;5;50.6;0.0;0.0;0.0;5.4;0.0;0.0;0.0;0.0;8.0;1.8;11.4;16.4;0.0;0.0;0.0;0.0;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
