Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1981;1;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;17.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1981;2;60.0;0.0;0.0;0.0;0.0;0.0;12.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1981;3;314.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;18.0;55.0;48.0;0.0;9.0;14.0;38.4;11.0;5.3;4.3;54.2;13.0;0.0;9.0;0.0;1.2;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1981;4;28.0;5.0;9.4;0.0;4.0;0.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;888.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1981;5;22.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1981;6;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1981;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1981;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1981;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1981;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1981;11;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1981;12;27.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;6.0;6.2;2.1;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1982;1;32.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.5;0.0;0.0;21.4;1.4;0.0;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1982;2;68.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.4;7.2;0.0;0.0;2.2;0.0;0.0;0.0;0.0;0.0;27.0;0.0;0.0;25.8;888.0;888.0;888.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1982;3;89.8;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;0.0;3.4;0.0;0.0;51.0;2.4;0.0;0.0;0.0;0.0;12.4;0.0;0.0;0.0;2.2;0.0;0.0;0.0;0.0;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1982;4;165.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;28.0;0.0;7.0;2.0;0.0;0.0;0.0;40.0;31.0;14.0;25.0;0.0;0.0;12.0;0.0;0.0;888.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1982;5;50.2;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;10.2;17.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1982;6;23.5;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1982;7;26.0;0.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1982;8;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1982;9;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1982;10;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;10.0;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1982;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1982;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1983;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1983;2;125.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;17.0;0.0;0.0;22.0;63.0;0.0;0.0;9.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Quixeré;QUIXERE;-5.0713888888889;-37.995222222222;1983;3;102.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;8.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;15.0;43.0;0.0;14.0;0.0
