Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1974;1;298.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;0.0;6.0;36.0;0.0;58.0;0.0;0.0;0.0;21.0;0.0;0.0;13.0;13.0;11.0;49.0;0.0;0.0;20.0;38.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1974;2;291.0;50.0;19.0;13.0;10.0;11.0;0.0;0.0;0.0;0.0;0.0;6.0;9.0;0.0;27.0;0.0;12.0;20.0;0.0;0.0;24.0;2.0;29.0;0.0;9.0;10.0;2.0;29.0;9.0;888.0;888.0;888.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1974;3;401.0;0.0;17.0;7.0;12.0;15.0;8.0;0.0;37.0;9.0;8.0;19.0;3.0;19.0;27.0;9.0;25.0;2.0;13.0;2.0;24.0;12.0;21.0;30.0;30.0;45.0;0.0;0.0;7.0;0.0;0.0;0.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1974;4;632.0;26.0;16.0;64.0;28.0;10.0;1.0;10.0;31.0;43.0;55.0;43.0;45.0;2.0;6.0;16.0;1.0;5.0;0.0;0.0;18.0;0.0;41.0;9.0;14.0;24.0;14.0;24.0;25.0;31.0;30.0;888.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1974;5;399.0;58.0;12.0;1.0;8.0;3.0;1.0;4.0;2.0;0.0;0.0;0.0;0.0;32.0;23.0;9.0;25.0;3.0;23.0;0.0;15.0;3.0;0.0;16.0;0.0;25.0;60.0;25.0;0.0;1.0;40.0;10.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1974;6;71.0;0.0;10.0;0.0;15.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;7.0;0.0;6.0;5.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;888.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1974;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1974;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1974;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1974;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1974;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1974;12;38.0;0.0;0.0;0.0;0.0;0.0;17.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1975;1;38.0;0.0;6.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1975;2;79.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;18.0;2.0;2.0;0.0;7.0;32.0;888.0;888.0;888.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1975;3;364.0;32.0;5.0;2.0;8.0;13.0;34.0;12.0;18.0;26.0;19.0;2.0;0.0;20.0;27.0;12.0;0.0;0.0;0.0;14.0;30.0;6.0;2.0;17.0;25.0;7.0;0.0;5.0;0.0;0.0;28.0;0.0
Itapipoca;ITAPIPOCA;-3.4982777777778;-39.576611111111;1975;4;277.0;3.0;5.0;18.0;12.0;1.0;0.0;0.0;7.0;0.0;15.0;0.0;25.0;5.0;7.0;21.0;5.0;0.0;27.0;2.0;0.0;2.0;0.0;18.0;68.0;4.0;7.0;4.0;0.0;0.0;21.0;888.0
