Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2010;1;77.0;0.0;0.0;24.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2010;2;69.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;31.0;9.5;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;5.5;0.0;0.0;0.0;0.0;1.5;0.0;0.0;888.0;888.0;888.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2010;3;162.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;3.0;0.0;0.0;35.0;9.0;32.0;0.0;6.0;1.0;7.0;20.0;0.0;11.5;33.0;0.0;0.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2010;4;290.2;19.0;0.0;17.2;66.4;0.0;2.5;0.0;0.0;8.5;19.0;6.2;0.0;42.4;0.0;0.0;12.5;25.0;45.0;3.0;11.0;3.0;2.5;5.5;0.0;0.0;0.0;0.0;1.5;0.0;0.0;888.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2010;5;46.6;0.0;1.0;2.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;5.1;0.0;0.0;0.0;11.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2010;6;28.6;8.0;0.0;0.0;1.5;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;888.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2010;7;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2010;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2010;12;108.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.6;2.0;0.0;0.0;46.0;9.0;0.0;0.0;0.0;0.0;46.8;0.0;0.0;999.0;999.0;999.0;999.0;999.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2011;1;322.5;0.0;0.0;0.0;0.0;5.0;0.0;0.0;21.0;8.0;93.0;12.0;0.0;0.0;12.5;0.0;0.0;12.0;2.4;2.5;23.0;0.0;17.6;0.0;3.5;35.0;9.5;0.0;44.0;13.0;6.5;2.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2011;2;290.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;10.5;40.0;13.0;24.5;2.0;19.0;3.0;0.0;0.0;0.0;28.0;0.0;0.0;2.5;2.5;75.0;0.0;45.0;888.0;888.0;888.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2011;3;202.7;0.0;0.0;0.0;0.0;0.0;2.0;0.0;15.0;35.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.4;0.0;0.0;30.0;0.0;4.8;21.0;14.5;38.0;0.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2011;4;289.5;0.0;72.0;3.0;0.0;0.0;0.0;0.0;0.0;27.0;25.0;5.0;13.5;1.0;19.0;4.0;11.0;0.0;16.0;6.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;35.0;0.0;32.0;888.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2011;5;165.0;32.0;11.0;0.0;13.0;35.0;0.0;0.0;0.0;0.0;0.0;35.0;14.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2011;6;86.9;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;9.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.4;0.0;0.0;0.0;50.0;0.0;0.0;0.0;10.0;0.0;0.0;888.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2011;7;103.0;0.0;0.0;0.0;0.0;17.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;0.0;0.0;54.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2011;8;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2011;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2011;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2011;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2011;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2012;1;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2012;2;128.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;11.5;12.0;0.0;0.0;0.0;0.0;26.6;0.0;0.0;2.0;0.0;0.0;22.0;16.5;24.0;888.0;888.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2012;3;239.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;10.0;42.0;0.0;1.0;11.0;10.0;10.0;0.0;0.0;0.0;0.0;6.5;0.0;4.0;0.0;7.5;2.0;0.0;75.0;52.4;1.0;0.0;0.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2012;4;84.6;0.0;2.6;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;8.0;0.0;5.0;4.0;40.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2012;5;120.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2012;6;17.0;0.0;0.0;9.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;888.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2013;1;20.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2013;2;134.1;0.0;0.0;0.0;0.0;0.0;1.7;1.8;0.0;0.0;6.4;1.0;0.0;0.0;0.0;11.4;24.0;4.2;28.0;36.6;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2013;3;71.5;0.0;3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;0.0;8.8;25.1;2.8;0.6;0.0;0.0;0.0;2.8;0.8;0.0;0.0;9.4;11.6;1.4;3.6
São Gonçalo do Amarante;SEDE;-3.6039444444444;-38.967111111111;2013;4;165.1;5.6;0.0;0.0;0.0;16.8;14.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1;0.0;1.8;15.4;61.0;0.0;0.0;9.4;8.8;0.0;0.6;0.0;19.2;0.0;10.2;888.0
