Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Catunda;CATUNDA;-4.6495833333333;-40.202944444444;1988;1;12.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Catunda;CATUNDA;-4.6495833333333;-40.202944444444;1988;2;153.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;16.2;0.0;0.0;34.0;1.0;0.0;0.0;0.0;0.0;0.0;51.0;20.5;3.0;0.0;0.0;888.0;888.0
Catunda;CATUNDA;-4.6495833333333;-40.202944444444;1988;3;315.2;28.4;11.3;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;20.4;0.0;46.0;0.0;0.0;14.7;0.0;51.2;12.1;46.3;31.8;21.2;3.6;8.0;12.2;0.0;0.0;0.0;0.0
Catunda;CATUNDA;-4.6495833333333;-40.202944444444;1988;4;138.8;0.0;0.0;0.0;0.0;0.0;36.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.4;0.0;0.0;0.0;0.0;0.0;47.5;18.0;0.0;0.0;28.4;0.0;0.0;0.0;888.0
Catunda;CATUNDA;-4.6495833333333;-40.202944444444;1988;5;67.5;0.0;0.0;0.0;0.0;22.1;0.0;0.0;0.0;0.0;45.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Catunda;CATUNDA;-4.6495833333333;-40.202944444444;1988;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Catunda;CATUNDA;-4.6495833333333;-40.202944444444;1988;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Catunda;CATUNDA;-4.6495833333333;-40.202944444444;1988;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Catunda;CATUNDA;-4.6495833333333;-40.202944444444;1988;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Catunda;CATUNDA;-4.6495833333333;-40.202944444444;1988;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Catunda;CATUNDA;-4.6495833333333;-40.202944444444;1988;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Catunda;CATUNDA;-4.6495833333333;-40.202944444444;1988;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
