Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2017;1;20.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2017;2;134.5;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.5;56.5;3.5;0.0;0.0;0.0;7.0;0.0;6.0;0.0;0.0;0.0;0.0;4.0;0.0;11.0;0.0;1.0;888.0;888.0;888.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2017;3;71.0;0.0;8.5;0.0;0.0;2.5;0.0;1.5;0.0;0.0;17.5;4.0;0.0;2.0;2.0;0.0;0.0;0.0;4.0;0.0;0.0;1.5;0.0;6.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;21.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2017;4;104.0;6.5;5.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;3.0;3.0;2.0;21.0;35.5;0.0;0.0;0.0;0.0;0.0;3.0;0.0;5.0;0.0;11.0;0.0;0.0;0.0;0.0;4.0;888.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2017;5;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2017;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2017;7;4.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2017;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2017;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2017;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2017;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2017;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2018;1;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2018;2;286.0;0.0;0.0;0.0;0.0;0.0;0.0;89.0;12.0;0.0;0.0;21.0;22.0;2.0;31.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;22.0;34.0;0.0;25.0;0.0;22.0;888.0;888.0;888.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2018;3;27.5;9.5;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2018;4;87.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;0.0;0.0;11.0;13.0;5.0;10.0;5.0;8.0;20.0;0.0;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2018;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Benedito;SITIO INHARÉ;-4.0533333333333;-41.055555555556;2018;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
