Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1974;1;129.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.2;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;40.6;30.4;0.0;0.0;0.0;12.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1974;2;89.0;10.0;12.0;0.0;8.0;0.0;0.0;0.0;20.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;8.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1974;3;492.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.3;10.0;10.3;90.0;1.8;24.3;20.2;0.0;0.0;0.0;0.0;7.2;6.4;53.0;10.0;41.3;23.0;0.2;63.4;31.0;0.3;5.1;3.0;0.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1974;4;915.8;20.0;10.2;0.0;26.3;10.1;36.2;42.0;4.1;66.2;128.0;5.0;15.1;65.1;7.0;2.0;142.2;6.0;15.2;7.3;0.3;7.0;25.0;16.2;32.0;86.0;83.0;39.0;19.0;0.3;0.0;888.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1974;5;579.2;69.1;1.1;1.3;6.0;10.2;94.6;1.0;43.3;0.2;6.3;0.0;0.0;67.3;38.3;0.0;8.3;0.0;9.4;7.4;39.2;7.4;0.0;24.3;0.3;86.3;13.0;2.0;15.1;5.3;0.3;22.2
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1974;6;134.3;0.0;12.4;0.0;72.3;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.2;13.0;19.3;0.3;5.2;0.0;1.3;0.0;2.3;0.0;0.0;0.3;2.1;0.3;0.0;0.0;0.0;888.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1974;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1974;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1974;9;19.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1974;10;13.1;0.0;0.0;0.0;0.0;2.3;0.0;0.0;0.0;7.4;0.0;0.0;0.0;0.0;0.0;0.0;1.4;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1974;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1974;12;87.6;1.1;0.0;0.0;2.3;53.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.4;0.0;0.0;0.0;0.0;4.0;0.0;0.0;11.0;9.4;0.0;0.0;0.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1975;1;122.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.2;0.0;28.6;42.6;35.8;0.0;0.0;0.0;0.0;0.0;10.0;0.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1975;2;180.6;6.4;4.4;10.3;2.0;13.0;0.0;0.0;0.0;15.3;0.0;1.1;2.4;0.0;21.3;9.4;20.4;4.2;1.2;14.3;0.0;9.4;8.6;1.0;9.0;0.0;1.0;7.4;18.5;888.0;888.0;888.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1975;3;392.8;12.8;70.0;0.0;0.0;12.0;3.3;7.1;11.1;11.3;18.3;2.3;0.0;49.4;25.4;9.2;0.0;4.2;1.2;14.3;0.0;9.4;8.6;0.0;77.0;31.0;10.4;1.3;0.0;0.0;0.0;3.2
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1975;4;116.8;20.2;0.0;10.2;15.8;13.0;0.0;0.0;0.0;0.0;34.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;888.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1975;5;431.1;4.2;23.0;0.0;40.3;51.0;79.0;33.3;34.0;6.4;1.1;6.1;2.3;7.1;1.4;6.2;33.4;3.0;8.2;9.0;44.4;9.2;0.0;0.0;0.0;0.0;0.0;26.2;0.0;2.3;0.0;0.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1975;6;45.6;3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.2;0.0;0.0;0.0;12.3;0.0;8.3;5.1;0.0;888.0
Acaraú;ACARAU;-2.88588888889;-40.1184166667;1975;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
